"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"81","Alec Pierce",IND,"4 out of 5 stars","4 out of 5 stars","102.0","-6"
"82","Jack Bech",LV,"4 out of 5 stars","3 out of 5 stars","100.3","-8"
"83","Tyler Lockett",TEN,"4 out of 5 stars","3 out of 5 stars","96.9","+4"
"84","Calvin Austin III",PIT,"4 out of 5 stars","3 out of 5 stars","95.2","-6"
"85","Roman Wilson",PIT,"4 out of 5 stars","3 out of 5 stars","95.2","+1"
"86","Troy Franklin",DEN,"3 out of 5 stars","4 out of 5 stars","91.8","-3"
"87","Dyami Brown",JAC,"4 out of 5 stars","3 out of 5 stars","88.4","-2"
"88","Adonai Mitchell",IND,"4 out of 5 stars","4 out of 5 stars","88.4","+5"
"89","Andrei Iosivas",CIN,"2 out of 5 stars","3 out of 5 stars","88.4","+2"
"90","Dontayvion Wicks",GB,"2 out of 5 stars","3 out of 5 stars","86.7","+4"
